xcoord,ycoord,cases,distw1,elevation1,calcium1,pH1,swater1,rainfall1,evi1
262525.1308,-136051.6172,68,0.117475629,220.6153259,17.00566864,59.02776718,22.45249748,2.489258766,3094.157227
262525.1308,-156051.6172,3,0.259112209,215.201767,15.66381645,66.81972504,27.09965515,2.144422531,2537.226318
262525.1308,-176051.6172,1,0.404904008,212.019989,25.97447395,70.20446777,24.85844421,1.956388712,2304.838867
262525.1308,-196051.6172,2,0.35997346,211.6316833,26.41475105,73.66979218,24.94629478,1.879646301,2549.04126
282525.1308,23948.3828,1,0.423678815,200.4289856,18.84012985,66.70854187,25.40185547,2.176155806,2198.733643
282525.1308,3948.3828,5,0.440635294,199.9472961,16.18270302,69.1940918,25.2050724,2.230265856,3006.775146
282525.1308,-16051.6172,1,0.425022542,195.6135406,15.12445068,62.21294022,27.39903831,2.655992746,3258.623291
282525.1308,-36051.6172,3,0.29692474,208.62854,10.797328,58.01791382,22.85172653,2.599471092,3284.177246
282525.1308,-56051.6172,21,0.163224697,215.5255585,10.4604845,56.89426422,24.01013184,3.434391975,3937.542969
282525.1308,-76051.6172,7,0.17956616,226.2423706,8.997177124,56.59145737,22.07888603,3.677379608,3531.605225
282525.1308,-96051.6172,9,0.253985852,221.5255127,8.243765831,58.10812759,22.53232193,3.225003481,3485.001953
282525.1308,-116051.6172,11,0.145964503,215.9381256,12.46001339,64.46670532,22.85150337,2.394747734,2643.35083
282525.1308,-136051.6172,13,0.107654512,211.3304291,18.54481316,74.46089172,25.73071098,2.09735775,2065.548096
282525.1308,-156051.6172,3,0.254822493,206.009613,12.30144405,66.92719269,24.9563942,1.924499393,2641.825684
282525.1308,-176051.6172,1,0.431766123,204.8650055,19.09320641,70.09894562,25.358778,1.835829973,2454.050049
302525.1308,-56051.6172,10,0.301677585,223.8403778,9.505819321,56.52368546,27.19732666,3.378479958,4110.879395
302525.1308,-76051.6172,9,0.13151063,220.1719818,6.94149828,61.68811417,24.6765728,3.086304903,3652.497803
302525.1308,-96051.6172,6,0.092389584,208.155838,6.587124825,58.56052017,24.33349609,2.883513212,3391.78125
302525.1308,-116051.6172,2,0.228580922,212.1665192,13.39510822,61.56734467,21.342062,2.505886078,3589.830811
302525.1308,-176051.6172,3,0.441469997,211.4377136,7.557289124,64.3017807,27.82360268,1.903205991,2699.238037
302525.1308,-196051.6172,1,0.268799067,208.2241211,10.83468628,62.61272812,27.1030407,1.993195057,2693.087646
322525.1308,-56051.6172,5,0.310195833,230.1352386,9.400094986,58.16453552,23.88335037,3.245244265,4072.760986
322525.1308,-76051.6172,1,0.141458362,188.9425354,11.48159313,64.05506134,22.07120514,2.721412182,3244.464844
322525.1308,-216051.6172,1,0.084725425,219.9194031,7.254891396,59.70795441,25.27132797,2.088176012,2796.63916
322525.1308,-236051.6172,3,0.000478285,210.4357452,10.36069584,63.50157547,26.91543388,1.869878888,2494.0896
342525.1308,3948.3828,1,0.167940855,234.8477325,4.99373579,52.79118729,24.43287659,4.204887867,4801.940918
342525.1308,-16051.6172,6,0.121183157,251.623703,4.492708206,54.0573349,27.5138588,4.699857712,5412.507813
342525.1308,-36051.6172,4,0.257214755,242.9705963,4.662359715,51.78266907,28.30642891,4.149645329,4943.837402
342525.1308,-136051.6172,1,0.30914849,207.3258209,15.967906,70.89082336,20.84422302,2.034735918,2454.06665
362525.1308,23948.3828,1,0.42682007,188.1526489,14.2703352,68.9552536,22.28780365,3.122615576,2776.395508
362525.1308,-16051.6172,2,0.298072785,226.4604645,4.056162834,58.5145607,23.0234623,3.715461731,3426.579102
362525.1308,-36051.6172,1,0.25720492,211.9951477,8.242740631,60.58121109,23.85544586,3.322022676,3372.228516
